Sales,CategoryName,Profit_Ratio,Discount,Quantity,Order_Profit ,Product_type,Prod_Category_Id,ProductLength,ProductWeight,Dispatched,Scheduled_Shipping,Delivery_Review,Session_Ordered,WeekdayOrder,Cust_State_Encoded,Customer_Category_Encoded,Transcation_Encoded,Shipping_Class_Encoded,Warehouse_Region_Encoded,Order_zone_Encoded,y_pred,y_act,OrderId
145,3,-0.31,0.06,1,-2836.43,1,18,90,435,0,2,4,3,0,8,0,2,0,3,1,1,0,2517264
243,11,0.47,0.03,4,2038.45,1,17,84,323,1,2,4,1,1,7,0,1,3,2,1,0,0,2496769
167,43,0.28,0.04,1,4014.05,1,48,71,454,0,5,4,3,1,4,1,2,1,3,0,1,1,2443872
338,25,-2.1,0.18,1,-59473.32,1,45,59,1421,0,6,3,3,1,1,2,0,3,2,2,1,0,2479950
457,47,0.47,0.13,5,3370.02,0,9,127,2442,1,5,2,2,1,8,2,1,3,2,4,1,0,2352121
202,11,0.35,0.11,4,1516.47,0,17,76,1021,0,5,3,1,1,17,0,3,3,0,4,1,0,2342335
397,25,0.41,0.12,1,11638.9,0,45,20,1887,0,2,4,1,0,12,1,3,0,2,1,1,1,2480486
314,25,0.22,0.25,1,6272.75,0,45,86,19125,0,5,2,1,0,6,0,2,1,2,3,1,0,2480097
58,16,0.26,0.02,1,861.78,0,6,84,1640,0,5,4,2,0,3,0,2,1,4,2,1,1,2406790
80,11,0.35,0.18,1,1544.66,0,17,32,1856,0,4,4,2,0,3,0,2,3,2,4,0,0,2434782
132,11,0.16,0.1,2,687.57,0,17,65,113,0,2,3,2,0,6,2,1,3,2,3,0,0,2509088
118,48,0.45,0.19,5,664.5,0,41,51,1456,0,2,3,2,0,3,1,3,0,0,4,1,0,2412741
417,25,0.38,0.01,1,10766.52,0,45,35,416,1,4,1,2,0,5,0,0,3,0,3,0,0,2515113
146,33,-0.07,0.19,4,-250.88,1,24,45,1203,0,3,5,3,1,16,0,2,3,2,1,0,0,2471658
305,4,0.47,0.07,1,10055.28,0,43,85,2801,0,4,4,1,0,8,0,2,1,3,4,1,0,2348451
120,38,0.11,0,1,834.7,1,33,90,3022,0,4,2,3,1,2,2,2,3,2,2,0,0,2392663
167,48,0.32,0.25,1,5659.81,0,41,185,3485,1,3,4,3,0,11,0,2,1,0,2,1,1,2405739
102,19,0.29,0.12,4,401.61,1,36,171,42640,1,4,2,2,0,6,0,2,3,1,0,0,0,2398565
293,4,-0.42,0.06,1,-9003.61,1,43,175,1126,1,3,3,1,1,12,2,3,3,0,4,0,0,2353501
129,3,-0.16,0.11,1,-1480.27,1,18,144,1829,1,3,4,1,0,1,0,1,3,2,2,0,0,2429307
284,47,0.35,0.06,3,2488.06,0,9,135,2997,0,2,3,2,0,1,1,2,0,0,1,1,1,2366925
220,44,0.5,0.03,4,1862.22,1,37,17,220,1,4,3,2,1,1,0,2,3,3,1,0,0,2399142
33,33,0.07,0,1,245.99,1,24,82,257,0,6,3,3,1,17,2,1,1,0,2,1,0,2507468
208,43,0.1,0.01,1,1429.93,0,48,182,8613,0,6,3,3,1,9,2,2,3,2,4,1,1,2403467
374,25,0.47,0.18,1,13350.88,0,45,52,491,1,0,4,2,0,13,1,0,2,4,2,0,0,2494144
186,22,0.38,0.03,5,1066.39,0,29,199,3304,1,4,3,2,1,0,1,2,2,4,3,1,1,2380677
122,3,0.11,0.25,1,1012.04,1,18,159,2776,1,2,3,2,1,11,2,2,0,2,1,1,1,2482776
215,43,-0.11,0.11,1,-1572.16,0,48,173,6014,0,4,2,3,0,14,1,2,3,3,1,0,0,2422778
392,25,0.35,0,1,9984.51,0,45,16,1850,0,3,4,1,0,16,1,2,3,2,2,0,0,2480710
224,43,0.38,0.12,1,5451.56,0,48,194,10521,1,2,3,3,0,10,0,2,3,2,2,0,0,2403692
110,12,0.31,0.18,4,568.87,1,40,68,676,1,4,3,3,0,17,1,2,3,0,3,0,0,2356099
149,3,0.11,0.04,1,1011.36,0,18,83,2718,0,3,3,1,1,5,1,1,1,3,3,1,1,2410987
360,25,0.45,0.04,1,12797.54,1,45,80,2158,0,2,3,3,0,14,0,1,0,0,2,1,1,2456672
208,45,0.03,0.07,5,107.71,0,46,134,3520,1,6,2,3,0,1,2,1,3,3,4,1,1,2452828
134,39,0,0.18,1,1.55,0,32,155,2008,0,3,2,2,1,14,1,2,3,0,3,0,0,2392859
173,43,0.34,0.16,1,4827.63,1,48,58,1467,0,4,4,3,1,3,0,2,3,2,3,0,0,2396875
244,34,-0.44,0.06,1,-8184.31,1,71,38,305,1,5,2,2,0,9,0,1,1,3,1,1,1,2467023
255,4,-0.7,0.11,1,-14938,1,43,49,263,0,6,5,3,0,15,2,2,3,3,2,1,0,2504902
260,47,0.06,0.06,3,429.11,1,9,40,358,0,2,4,1,0,12,2,2,3,3,0,0,0,2505909
202,43,0.25,0.11,1,3532.3,1,48,90,1086,1,3,4,3,0,7,1,0,3,2,1,0,0,2396800
242,4,-0.1,0.16,1,-2130.46,0,43,26,246,1,4,5,1,0,15,2,3,1,0,3,1,1,2510811
288,4,0.32,0.18,1,6800.12,0,43,139,3286,1,3,2,3,1,6,1,3,3,1,4,0,0,2426437
217,2,0.19,0.06,4,800.92,1,3,75,138,1,0,2,1,0,13,0,2,2,1,1,0,0,2518512
228,45,0.06,0.07,5,211.05,0,46,89,363,1,4,2,3,1,1,2,2,1,2,4,1,1,2519964
183,33,0.34,0.11,3,1217.94,1,24,83,799,1,4,4,3,0,7,0,0,3,2,0,0,0,2376369
337,25,0.48,0.12,1,13686.73,1,45,159,1999,1,3,4,3,0,9,0,0,1,3,2,1,0,2487195
120,3,0.06,0.06,1,554.99,1,18,210,23744,1,5,3,3,0,0,0,3,3,0,2,1,1,2500761
157,13,0.13,0.18,1,1992.62,0,76,66,1183,0,5,3,1,1,12,2,2,3,3,3,1,1,2490787
394,25,0.16,0.07,1,4547.81,1,45,41,1640,1,4,4,1,1,2,0,2,3,2,3,0,0,2486868
382,25,0.34,0,1,9692.71,0,45,84,253,1,0,4,3,0,16,2,2,2,4,2,0,0,2489525
196,33,-1.71,0.02,3,-5955.61,1,24,29,1538,0,2,4,2,0,3,0,2,3,0,3,0,0,2470078
165,22,0.25,0.07,4,713.14,1,29,81,2371,1,4,3,3,1,5,0,2,3,4,3,0,0,2472116
116,3,0.47,0.12,1,4355.18,0,18,39,1759,1,5,4,1,0,8,0,3,3,2,2,1,1,2463372
91,3,0.48,0.19,1,4496.66,0,18,55,486,1,5,3,2,1,17,0,0,3,0,2,1,0,2515050
65,11,0.06,0.1,1,258.42,0,17,207,8822,1,2,4,2,1,7,0,3,0,3,3,1,0,2497848
209,45,0.35,0.21,4,1290.69,1,46,46,261,0,0,1,1,1,15,0,0,2,0,3,0,0,2518757
274,4,0.11,0.21,1,2354.89,1,43,72,2141,0,0,4,3,0,4,0,2,2,2,4,0,0,2385725
269,4,-1.61,0.16,1,-34373.32,1,43,170,1547,0,4,2,3,1,16,0,1,3,0,4,0,0,2428961
184,45,0.11,0.02,3,405.62,0,46,75,1301,1,4,4,3,1,8,1,3,3,0,2,0,0,2484579
207,33,0.47,0.16,5,1661.2,0,24,40,1119,0,6,2,3,1,3,1,0,1,0,0,1,1,2359987
135,47,0.37,0.04,1,2654.15,1,9,54,410,0,5,2,1,1,0,0,3,3,4,2,1,1,2502356
152,3,0.34,0.12,1,3115.55,0,18,44,159,0,4,4,2,0,11,0,2,1,3,3,1,0,2406475
170,33,-1.61,0.18,4,-5677.61,0,24,72,1412,0,3,4,1,0,8,0,3,3,1,1,0,0,2342268
168,27,0.29,0.1,1,3377.38,0,67,150,3023,1,6,5,3,1,6,0,3,3,3,0,1,0,2476097
230,45,-0.24,0.11,4,-842.91,0,46,31,808,0,4,4,1,0,15,0,2,0,4,4,1,1,2440724
32,10,0.26,0,1,446.97,1,26,25,711,0,3,3,3,0,0,1,3,1,3,1,1,0,2464283
310,25,0.11,0.1,1,3130.99,0,45,146,2901,0,4,3,1,1,3,0,1,3,3,2,0,0,2430478
123,38,0.38,0.07,1,2135.76,1,33,155,1962,1,5,2,1,1,17,0,2,3,0,2,1,0,2392254
153,33,0.08,0.12,3,292.79,0,24,193,29694,0,2,2,3,1,12,1,2,1,0,0,0,0,2390962
166,43,0.16,0.16,1,2283.39,0,48,39,1289,0,4,4,1,1,15,0,1,3,2,3,0,0,2417339
390,25,0.39,0.06,1,11125.29,1,45,209,37030,0,4,4,2,1,5,0,2,3,2,3,0,0,2479203
161,33,0.26,0.1,3,933.44,1,24,183,1880,0,4,5,3,1,13,0,3,3,2,3,0,0,2477784
281,47,0.47,0.07,3,3300.94,0,9,81,1039,0,4,3,2,0,2,0,3,3,1,2,0,0,2477495
106,3,0.5,0,1,4638.01,0,18,53,274,0,4,4,2,1,12,2,2,3,2,0,0,0,2504175
96,22,0.11,0.12,2,312.58,1,29,82,250,0,2,2,3,1,17,0,2,0,0,3,1,0,2517441
351,25,0.35,0.1,1,9970.59,0,45,160,3346,1,4,3,3,0,1,0,1,3,0,2,0,0,2487589
229,16,0.26,0.13,5,862.63,0,6,25,1558,0,5,4,3,1,10,1,1,3,2,4,1,1,2411532
278,25,0.48,0.25,1,13640.09,1,45,10,2116,1,5,2,3,1,9,0,1,3,3,0,1,1,2430489
322,4,0.35,0.1,1,7425.62,1,43,103,2251,0,4,4,1,1,15,0,1,3,2,2,0,0,2429673
73,19,0.1,0.16,3,147.96,0,36,86,1142,1,4,3,3,0,12,0,2,3,1,2,0,0,2469887
258,45,0.28,0.16,5,998.19,0,46,60,1122,0,3,3,2,0,7,0,0,3,0,3,0,0,2419064
167,33,0.21,0.07,3,756.03,0,24,12,929,1,4,2,3,0,1,2,3,3,2,3,0,0,2372476
173,3,0.35,0.03,1,3219.99,0,18,25,1782,1,5,4,1,0,5,0,3,3,0,3,1,0,2462295
343,4,0.5,0.01,1,10691.5,0,43,84,3733,1,3,4,3,1,8,1,1,1,3,1,1,1,2411032
327,25,-0.68,0.13,1,-19356.01,0,45,79,1558,0,5,4,1,1,12,0,2,3,2,0,1,0,2479011
99,19,0.16,0.04,5,216.38,1,36,84,16767,0,4,4,2,1,5,0,2,1,0,1,1,0,2422967
72,11,0.11,0.16,1,482.72,0,17,14,1425,0,3,4,3,0,14,1,0,0,4,1,1,1,2345269
148,3,-0.15,0.04,1,-1392.42,0,18,174,2972,1,2,4,1,1,17,2,0,2,4,2,1,1,2404401
46,11,0.21,0.12,1,886.71,0,17,109,3358,0,3,4,1,1,10,0,0,3,2,4,0,0,2375118
147,3,0.28,0.07,1,2560.67,0,18,98,1952,0,4,4,1,0,0,1,0,1,0,1,1,1,2359527
80,45,0.29,0.19,2,1073.41,0,46,117,2837,0,6,3,1,1,0,0,2,3,2,0,1,1,2456391
432,25,0.11,0.01,1,3134.91,1,45,80,483,0,2,4,3,1,1,0,1,0,0,1,1,1,2456669
227,47,0.5,0.21,3,3510.56,0,9,73,789,1,2,4,2,0,13,0,2,3,3,3,0,0,2470827
48,22,0.45,0.16,1,1266.76,0,29,25,474,0,4,3,3,0,16,0,2,1,3,1,1,1,2345143
173,11,0.29,0.01,1,1222.29,1,17,30,213,1,0,3,3,0,7,2,1,2,2,0,0,0,2507273
132,3,-0.24,0.07,1,-2212.35,0,18,65,451,1,5,4,3,0,10,0,0,3,1,1,1,1,2514909
438,25,0.11,0.01,1,3129.33,1,45,62,409,1,5,3,1,0,6,0,3,3,2,1,1,0,2463520
213,43,0.35,0.16,1,4946.04,1,48,124,3792,0,3,3,3,1,6,2,2,3,0,1,0,0,2395731
77,19,0.29,0.12,5,281.83,1,36,191,1093,0,4,3,1,1,14,2,2,3,3,0,0,0,2373250
