ID,Gender,CustomerType,Age,TypeTravel,Travel_Class,Travel_Distance,DepartureDelay_in_Mins,ArrivalDelay_in_Mins,Seat_comfort,Seat_Class,Arrival_time_convenient,Catering,Platform_location,Onboardwifi_service,Onboard_entertainment,Online_support,Onlinebooking_Ease,Onboard_service,Leg_room,Baggage_handling,Checkin_service,Cleanliness,Online_boarding,Target_Act,Target_Pre
98811157,0,0,38.0,1,0,1109,5.0,0.0,3,0,3,3,0,0,3,3,3,3,3,2,0,3,0,1,1
98877325,1,0,48.0,0,0,3267,2.0,0.0,1,1,1,1,4,1,3,3,0,0,0,0,0,0,3,1,1
98879444,0,0,56.0,0,0,415,34.0,32.0,5,1,5,5,1,4,1,1,3,3,3,2,1,3,0,1,1
98805156,0,0,46.0,1,1,2505,4.0,0.0,1,1,5,1,2,3,0,0,4,4,1,2,0,4,3,1,1
98805899,1,0,35.0,1,1,1587,44.0,38.0,4,1,0,4,2,0,4,0,0,3,4,4,5,5,0,0,0
98882479,1,1,49.0,0,1,2103,5.0,0.0,5,1,5,5,3,0,5,4,0,3,3,0,0,0,0,0,0
98826855,0,1,26.0,0,1,2744,0.0,23.0,0,0,0,0,2,4,0,3,4,4,4,2,4,0,4,0,0
98809436,1,0,38.0,0,1,2042,0.0,0.0,0,0,1,1,4,0,0,0,0,3,3,2,5,1,0,1,0
98891615,0,0,46.0,1,1,640,4.0,0.0,0,0,0,1,2,1,3,1,3,3,3,2,1,3,0,1,1
98818246,1,0,44.0,0,1,1422,7.0,0.0,0,1,1,0,2,0,0,0,0,5,4,0,4,3,0,0,0
98830487,1,0,41.0,0,0,2578,6.0,8.0,4,0,3,3,0,0,0,3,4,4,4,3,5,4,4,0,0
98877592,0,1,27.0,0,1,1505,0.0,0.0,5,1,5,5,0,4,5,4,4,3,5,0,5,3,4,0,0
98891691,1,1,29.0,0,0,2561,5.0,0.0,0,0,0,0,0,0,0,4,0,0,1,2,0,1,0,0,0
98884258,1,0,33.0,0,0,5299,19.0,10.0,5,0,2,2,0,1,2,1,1,4,4,0,3,3,1,0,1
98819866,0,0,49.0,0,1,295,0.0,0.0,4,0,5,5,1,5,0,0,4,4,4,3,0,4,5,0,0
98852710,0,0,47.0,1,1,1102,0.0,0.0,0,0,0,0,2,5,3,1,3,3,3,2,3,3,0,1,1
98856650,0,0,78.0,0,0,484,13.0,3.0,1,1,1,1,4,1,1,3,4,4,4,3,3,4,3,1,1
98802068,0,1,30.0,0,0,2582,338.0,334.0,0,1,5,3,0,3,5,5,4,0,0,0,5,5,5,0,0
